"t_id","topwords"
"t_1","marx, okolog, kritik, natur, sozial, kapital, mai, common, perspektiv, kapitalismus"
"t_2","antwort, astrologi, astrolog, jahr, roehlig, holg, alt, zeit, herr, sonn"
"t_3","uhr, klima, wuwt, klimat, watt, anthony, global, schwingung, meer, erwarm"
"t_4","klima, usa, klimawandel, kommentar, rss, gerecht, klimaschutz, lebt, jahr, energiepolit"
"t_5","wissenschaft, irgendein, mensch, verander, gerad, punkt, seeland, klima, debatt, dat"
"t_6","prof, wissenschaft, co2, ipcc, jahr, klima, klimawandel, bitt, global, polit"
"t_7","zeit, tag, gerad, gut, lang, buch, denk, gross, alt, jahr"
"t_8","mensch, welt, leb, jahr, polit, erd, wiss, zeit, volk, frag"
"t_9","temperatur, jahr, dat, eis, atmosphar, erwarm, oberflach, co2, ozean, global"
"t_10","mensch, obama, jahr, regier, amerikan, polit, recht, vereinigt, zustand, prasident"
"t_11","energi, leistung, gas, emission, kohlenstoff, kohl, jahr, grun, wind, industri"
"t_12","wass, mensch, erd, lebensmittel, arktis, umwelt, studi, million, jahr, tier"
"t_13","warm, jahr, temperatur, kalt, erd, stark, hoh, atmosphar, wint, erwarm"
"t_14","erwarm, global, jahr, klima, wissenschaft, ipcc, verander, wissenschaftl, bericht, wett"
"t_15","klimawandel, klimaschutz, nachhalt, berlin, europa, mensch, energi, deutschland, studi, erneuerbar"
"t_16","jahr, deutsch, deutschland, gross, land, prozent, europa, euro, polit, staat"
"t_17","eingeordnet, deutschland, birthchart, analys, aktion, deutsch, kommentar, zon, gold, hinterlass"
"t_18","energi, energiew, polit, jahr, eeg, wirtschaft, fukushima, umwelt, woch, uhr"
"t_19","wissenschaft, freitas, tagebuch, aktion, rezension, phil, papier-, mann, ansicht, chris"
"t_20","land, verander, klima, entwickl, global, international, emission, nachhalt, wirtschaft, welt"
