"t_id","topwords"
"t_1","atmosphar, temperatur, co2, oberflach, erhoht, strahlung, erd, energi, luft, ansteig"
"t_2","wissenschaft, klima, unterlag, herzland, wissenschaftl, institut, peer, arbeit, mensch, falsch"
"t_3","wissenschaft, klima, seeland, aufzeichn, temperatur, niwa, verander, position, bemerk, debatt"
"t_4","klima, co2, ansteig, erhohen,, verander, erwarm, global, mensch, wissenschaft, wett"
"t_5","klima, wissenschaft, global, erwarm, verander, ipcc, wissenschaftl, bericht, polit, forschung"
"t_6","klima, deutsch, deutschland, zeigt, gosselin, global, europa, jahr, wissenschaftl, bericht"
"t_7","solar-, klima, sonn, erd, zyklus, aktivitat, wolk, kosmisch, strahl, planet"
"t_8","global, klima, klimat, geschicht, wuwt, wett, ozean, atmosphar, temperatur, watt"
"t_9","energi, wind, leistung, vereinigt, regier, polit, land, wirtschaft, europa, kost"
"t_10","jahr, deutsch, klimawandel, deutschland, gross, prozent, land, energiew, europa, hoh"
"t_11","mensch, polit, frag, zeit, leb, buch, wiss, recht, gut, halt"
"t_12","uhr, konigreich, vereinigt, gerad, bekomm, gut, irgendein, kennt, seite?, denk"
"t_13","e-mail, freitas, papier-, wissenschaft, mann, klima, mannschaft, versuch, sorg, geschicht"
"t_14","prof, jahr, bitt, ipcc, co2, wissenschaft, global, klimawandel, klima, erwarm"
"t_15","jahr, eis, erhebt, meer, ansteig, erhohen,, global, erwarm, wett, temperatur"
"t_16","wissenschaft, tagebuch, freitas, aktion, papi, hinweis, rezension, klima, phil, person"
"t_17","mensch, natur, bericht, vereinigt, klima, konigreich, umgeb, leb, beispiel, auswirk"
"t_18","zeigt, temperatur, dat, jahr, erwarm, modell, bedeut, global, trend, zahl"
"t_19","pflanz, kohlenstoff, mensch, kohl, umwelt, epa, jahr, emission, welt, zustand"
"t_20","klima, wuwt, folg, beitrag, watt, global, gesendet, anthony, erwarm, bemerk"
